Code NAF,Raison Sociale,Groupe,Adresse,Code Postal,Ville,Tel Standard,Secteurs,Type,Observations
,CANDIA,,Route Nationale_x000D_,59400,Awoingt,+33 3 27 72 22 22 _x000D_,Agroalimentaire-Tabac|Industrie/,prospect ,"Beaucoup sollicité, 3 appels par jour. Travaille déjà avec cabinet, on ne me donne pas les noms. "
,CAP CALAISIS - COMMUNAUTÉ D'AGGLOMÉRATION DU CALAISIS,,"76, Boulevard Gambetta",62 101,Calais,+33 3 21 19 55 00,Collectivités Territoriales-Locales-CCI|Administration - Services publics/,prospect ,"_x000D_30/05/11 : assistante Mme PETITPAS :  me dit que sa supérieure souhaite une plaquette : isabelle.petitpas@agglo-calaisis.fr_x000D_01/06/11 : nous contact si besoins en recrutement_x000D_28/06/11 : contact Mme PETITPAS : pas besoin de cabR, ce tient à sa procédure"
,CARGILL,,,,,0320443535,,prospect ,"Changement d'organisation RH à partir d'avril 2011. Chaque ""service partagés"" va recruter ses besoins._x000D_Anne sophie leroux ne sera plus responsable des recrutements._x000D_A priori ce sera Florence Artus (?) de l'agence de saint germain en Laye qui s'occupera des recrutements._x000D__x000D_17/05 : eu mme artus au tel. 1 externalisation en 2010 sur un ingénieur en nutrtion animale...trvaille avec des experts métiers."
,CARI,,av Epinette 59113 SECLIN ,,,03 20 59 14 50,BTP - Construction|,prospect ," Animateur Qualité Sécurité Environnement H/F_x000D_géré par reims. a seclin, recrute uniquement des ouvriers."
,CARONOR,,62-2 rue de cannes,59000,Lille,+33 3 20 79 97 79,Second Œuvre|BTP - Construction/,prospect ,promo 2009 Nord Entreprendre_x000D_82 personnes_x000D_Bruno Delcampe PDG a quitté le groupe en avril 2011_x000D_a été racheté par un groupe et sont en train de dégraisser
,CARRARD SERVICES,,,,DUNKERQUE,03 28 66 18 50,Services - Conseil|,prospect ,INSPECTEUR H/F
,CCI LILLE,,,,Lille,+33 3 20 63 77 77,,prospect ,"sept 11 : recrute un poste de chargé d'affaires_x000D_env mail 27/09: contact Mme GASSELIN ( drh)  s.gasselin@grand-lille.cci.fr elle est chargé du recrutement ; restructuration du service, rel début d'année"
,CECA SA,,av Hermitage 62223 SAINT LAURENT BLANGY ,,SAINT LAURENT BLANGY,03 21 60 67 67 ou _x000D_0,+ SPECILISTE DE PRODUITS CHIMIQUE,prospect ,Technicien Support Fabrication H/F
1102B,CELLIER DES TEMPLIERS,,rue du pic au vent Bat CRT espace services CRT 1,59817,LESQUIN,+33 3 20 35 44 50,,prospect ,recrutent des commerciaux via annonce en 04/11
,CEMEX BETONS,,Port de Lille _x000D_18ème rue _x000D_BP 3_x000D_,,loos,+33 3 20 17 03 80,,prospect ,"* activité : constuction de bétons prêt à l'emploi et granula_x000D_* recrute : http://www.l4m.fr/entreprise/nord/loos-cedex/batiment-et-travaux-publics/cemex-beton-nord-ouest-1201_x000D__x000D__x000D_20/10/11 :  c'est Mme BOUTMY la directrice de l'agence, env mail florence.boutmy@cemex.com_x000D__x000D_RDV le 24/11/11- Mme BOUTMY : organisé en région. Sur le NPC  : 11 sites de productios, équipe commercial avec 10 commerciaux et 1 chef, pôle technique 4 + 1 laboratoire, pole production, pôle logistique, pour le recrutement : cabI, contrat de qualif, interne, voix de presse, site L4M, recrute un technico sur Valencienne avec une expérience dans le BTP, tempéramment commercial,+carnet d'adresse, accepte les contrainte du groupe_x000D_6/12/11 : finalise le recrutement > reprendre contact en mars"
,CER FRANCE,,centre d'affaire ARTEA - ZAC de l'an 2000_x000D_rue joseph jacquard_x000D_BP 20092,62802,LIEVIN,+33 3 28 82 21 21,Conseil|Services - Conseil/,prospect ,"_x000D_26/05/11 : contact stand : Md FIGASIEWIZC en recrutement jusqu'au 2/06, laisser CC > rel_x000D_http://www.l4m.fr/entreprise/pas-de-calais/lievin/administratif-gestion-et-finance/cerfrance-nord-pas-de-calais-808"
,CFP INDUSTRIES,,,,,,,prospect ,10 personnes - pas de recrutement prévus
,CGA,,Centre mercure 8ème étage_x000D_445 rue leon gambetta,59976,TOURCOING,,Compagnies d’Assurances-Courtiers|Banque - Finance - Assurance/,prospect ,"8 personnes_x000D_sont en perte de clients dc pas de recrutement dans l'année qui arrive._x000D_Mr ganier, directeur est reposnsable du recrutement."
,CHAPRISTI,,20 rue des tours,59000,Lille,+33 3  20 15 00 50,Internet-Télécommunications|Services - Conseil/,prospect ,* agence de communication_x000D_* http://www.chapristi.com/#/accueil/_x000D__x000D_23/06/11 : contact Mme LEMAIRE : envoie propal pour dev web >  juillet 11 on  recruté de leur côté_x000D_
,CHARLET,,Rue Calmette  Zone de la Houssoye ,59280,Bois Grenier,+33 3 20 48 40 00,Négoce-Commerce de gros industriel|Distribution/,prospect ,"A l'habitude de travailler avec des cabinet de recrutement sur les profils Commerciaux, VRP."
,CHAUSPORT,,96 rue du pont rompu,59200,Tourcoing,+33 3 59 36 02 00,,prospect ,Rencontrée le 06/08/2010_x000D_a transmis le dossier à DRH. Nou sommes dans le vivier des cabinets à appeller_x000D_aucun recrutements depuis Aout en externe._x000D__x000D_27/10/11 (nicolas charlier) : j'ai rencontré la RRH (Me VERAGHE) sur le salon de l'emploi  de HEM. Elle m'explique que si nous avons des cv intéressants pour le poste de responsable marketing retail elle peut être intéressée et peut être même nous renconter.
4673B,CHEVALIER DISTRIBUTION,,rue des famards_x000D_fretin crt2_x000D_bp 317,559813,LESQUIN,+33 3 20 96 58 80,Distribution spécialisée|Distribution/,prospect ,"vente de moquettes et  tapis (détail)_x000D__x000D_04/05 : pas de service RH. Catherine chevalier, gérante gère les recrutements avec son assistante._x000D_viennent de finaliser un recrutement et 1 est à venir. Travaillent avec des cabinets de recrutements - source assistante_x000D_"
,CHIMIREC NOREC,,,62129,Ecques,0321930073,Energie-Environnement|Industrie/,prospect ,42P travaillent à Ecques_x000D_Barrage secretaire
,CHRONO DRIVE,,50 av Flandre ,59170,Croix,+33 3 59 35 26 00,Autres Services aux Entreprises|Services - Conseil/~Services - Conseil|,prospect ,"_x000D__x000D_24/05/11 : contact drh Mr François BODART : très sollicité, ont un service RH qui fait du sourcing sur CV thèque + entretiens poussés + envoie au manager sur place, pas de besoin pour l'instant, souhaite avoir nos cc pour nous référencer, fbodart@chronodrive.com > rel rentrée_x000D__x000D_13/09/11 : contact drh Mr BODAR : pas de besoin sur des postes à reponsabilité tel direct : +33 3 59 35 26 09_x000D_12/04/12: pas de besoin pour le moment, lui ai proposé delui env un mail et de le recontacter en juillet pour refaire un point..."
,CHRÉTIEN MATÉRIAUX DISTRIBUTION,,direction générale_x000D_17 rte Nationale 62127 TINCQUES ,,,03 21 47 45 27,BTP - Construction|~Distribution spécialisée|Distribution/,prospect ,MANAGER DES VENTES Débutant H/F	Somme (80)	10/03/2011_x000D_MANAGER DES VENTES Débutant H/F	Pas de calais	10/03/2011_x000D_MANAGER DES VENTES Débutant H/F	Région Nord	10/03/2011_x000D_CHEF DE DEPARTEMENT BRICOLAGE / LS H/F	Somme (80)	10/03/2011_x000D_CHEF DES VENTES H/F	région NPDC	10/03/2011_x000D_DIRECTEUR DE MAGASIN H/F
,CIM,,226 av nations unies,59100,Roubaix,+33 3 20 65 79 57,SSII|Services - Conseil/,prospect ,Directeur de projets.
,CINE,,siege,67318,WASSELONNE,+33 3 88 87 23 39,Produits d’Entretien-Détergents|Industrie/,prospect ,"*spécialisée dans la fabrication et la commercialisation de produits techniques d'entretien industriels destinés à tous corps de métiers : PME-PMI, administrations, industries, artisans, collectivités... _x000D__x000D_24/05/11 : contact PHILIPPE :  très peu de temps, c'est fait démarché par 5 cabR, souhaite une garantie de remplacement, souhaite un mail de présentation et nous rappelle si intéressé ,cine.wasselonne@wanadoo.fr r > rel s+1_x000D_recrute : http://www.nordjob.com/entreprise/5795/CINE-SAS.htm_x000D__x000D_15/06/11 : contact Mr PHILIPPE : pas d'urgenceme conseil de le rappeler à la rentrée"
4321A,CITEOS,,rue des Sureaux_x000D_Sainghin en Mélantois PAM,59818,LESQUIN,+33 3 20 58 19 00,Electricité-Eclairage|Industrie/,prospect ,"métier : eclairage public, mise en valuer du patrimoine, illuminations festives, equipement urbains dynamiques_x000D__x000D_entreprise nationale_x000D__x000D_Mr carprentier, gérant est décisionnaire des recrutements."
,CITP,,,624120,BETHUNE,0321686900,Plastique-Plasturgie-Composites|Industrie/,prospect ,licenciement éco en 2010_x000D_recontacter en sept 2011
,CLINIBED,,1 rue Leuridan Noclain_x000D_Parc du Beck_x000D_,59150,Wattrelos,+ 33 3 20 02 23 60,Industrie|,prospect ,"* Fabrication de protection de literie et de confort médicalisé_x000D__x000D__x000D_09/06/11 contact Mr YHUEL : a donné l'exclusivité à un cabR pour une assistante de gestion, souhaite un mail de présentation, recrute très peu, > relancer dans 1 mois pour connaître l'avancement_x000D__x000D_15/09/11 : contact Mme YHUEL : le recrutement a aboutit, petite société, peu de recrutement"
,COCA COLA,,Rue marlieres_x000D__x000D__x000D_,59710,Avelin,+33 3 20 10 79 00 _x000D_,,prospect ,"A Avelin, activité commerciale grand Nord. Pas de service RH, tout passe par Paris."
,COCONUTS,,,59160,Lomme,0320060232,Autres Services aux Entreprises|Services - Conseil/,prospect ,
,COFRAC,, Eugène Chimot ,59168,Boussois,03 27 69 14 70,Industrie|,prospect ,Responsable d'atelier conditionnement H/F
,COMAP INDUSTRIES,,,,Abbeville,0322201230,,prospect ,"175 personnes_x000D_en redfuction de personnel, ne remplacent pas les gens qui pârtent en retraite..._x000D_aucun recrutement de prévu."
,COMARCH,,19 av Le Corbusier 59800 LILLE ,,LILLE,03 62 53 49 11,+ EDITEUR DE LOGICIELS,prospect ,recrutent via APEC uniquement avec de très bons retours!_x000D_jamais passé par un cabinet de recrutement_x000D_
,COMPARIO,,165 Avenue de la Bretagne,59000,Lille,+33 3 28 36 92 14,Informatique-Logiciels|Industrie/,prospect ,"_x000D_RECRUTE : http://www.compario.net/societe/Pages/Recrutement.aspx_x000D__x000D__x000D_6/6/11 : contact standard paris 01 42 80 14 57 : dans le jus > rel jeudi_x000D_09/06/11 : laisser cc pour que l'on me recontact_x000D_10/06/11 : mauvais contact, m'a raccroché au nez"
4652Z,CONECTIS,,rue des hts de Sainghin_x000D_CRT4_x000D_BP 114,59811,LESQUIN,+33 3 20 90 59 22,Distribution spécialisée|Distribution/,prospect ,"CONECTIS, premier distributeur français de Systèmes de Câblage / groupe REXEL / spécialisée dans la distribution de systèmes de câblage et de réseaux informatiques et télécoms. Les solutions proposées par CONECTIS sont des éléments clés de l'infrastructure des bâtiments intelligents. _x000D__x000D_implantation nationale_x000D__x000D_recrute un commerciaux sur rhone alpes et IDF_x000D_04/05 : chaque opérationnel recrute sur son secteur : commercial, logistique, finance mais DAF = Christine DELMOY centralise tous les recrutements."
,CONEGAN SAS,,,62126,Wimille,0321990130,,prospect ,
,CONTENTIA,,13 AV DE LA MARNE,59700,Marcq en Baroeul,+33 3 20 20 50 20,Banque - Finance - Assurance|,prospect ,"* acteur recouvrement_x000D_* recrute sur nord job : http://www.nordjob.com/entreprise/2286/Contentia-France.htm_x000D__x000D_09/06/11 : contact Mme WILLEMS : elle s'occupe du recrutement du pôle informatique, travail déjà avec un cabR pour l'informatique, doit faire le point le 10/06 avec le chef de service et elle reviendra vers nous._x000D_Pour le pôle marketing c'est Mme PLUVINAGE qui s'en occupe, drh, me conseil de lui envoyer un mail dans un premier temps : vpluvinage@contentia.fr et iwillems@contentia.fr_x000D__x000D_06/07/11 : renv mail Mme WILLEMS_x000D_06/08/11 : rel rentée MmeWILLEMS_x000D__x000D_"
,COTEBA (GROUPE ARTELIA),,,,villeneuve d'asq,+33 3 20 33 57 75,,prospect ,"(r ing, chargé d'étude structure) env mail sylvie.lecomte@arteliagroup.com"
,COTREM,,70 rue Leo lagrange,59100,Roubaix,+33 3 20 76 95 10,Textile-Habillement-Chaussures|Industrie/,prospect ,"envoyé mail à mr debruyne le 12/04_x000D_à relancer par mail fin avril_x000D__x000D__x000D_08/06/11 : contact stand : dans le jus, l'entreprise déménage, env mail"
,COUSIN BIOTECH,,"8,rue Abbé Bonpain - 59117 WERVICQ-SUD - FRANCE",,,03 20 14 40 00,Industrie|,prospect ,"Appele le 16/03_x000D_Mr Bossart ne prend pas en charge les recrutements des postes d'experts, rappeler Madame CHAMBURON qui est en charge de ces postes._x000D_26/03 : mme chamburon travaille avec un seul cabinet et est catégorique sur son partenariat."
,CPN,, Rue Jacques Messager - BP 85_x000D_Parc d'activités B_x000D__x000D_,59175,Templemars,+33 3 20 62 05 80,Distribution|,prospect ,"*Distribution Matériels & Produits pour pressing - Blanchisserie_x000D_*Type de Clientèle : Professionnels et particuliers_x000D_	_x000D__x000D_17/06/11 : contact Md DELOBELLE : recrute très peu pour les pôles adv et ingé, env mail  > rel rentrée pour ce rencontrer i.delobel@groupe-cpm.fr"
,CRECHES 123 SOLEIL,,Parc de la haute borne_x000D_10 rue Heloise,,VILLENEUVE D ASCQ,+33 3 20 12 02 82,,prospect ,
,CREDIT AGRICOLE CONSUMER FINANCE,,6 r Emile Moreau 59100 ROUBAIX ,,ROUBAIX,03 20 69 50 00,Banque - Finance - Assurance|,prospect ,fusionj de cofinco et fianref dc en restructuration._x000D_Ils reflechissent à nouvelle organisation._x000D_A rappeller mi juin pour qu'elle puisse me donner des noms et uen nouvelle structure.
4666Z,CRISTAL,,rue du Fort_x000D_CRT 3,59818,Lesquin,+33 3 20 29 93 20,Distribution spécialisée|Distribution/,prospect ,Spécialiste de la distribution automatique (ex : machine à café)   pour les ENTREPRISES et les PROFESSIONNELS _x000D__x000D_04/05 : PME
,CROQUE GEL NORD,,377 Rue Jules Guesde  ,59650,Villeneuve d'Ascq,+33 3 59 57 27 27,Distribution|,prospect ,On me dit d'envoyer un mail pour le 1er contact
6420Z,CYLANDE,CYLANDE,"15, rue André Diligent",59100,Roubaix,+33 3 59 00 06 88,SSII|Services - Conseil/,prospect ,
,CYRILLUS (REDCATS),,,,TOURCOING,+33 3 20 76 22 00,,prospect ,* http://www.cyrillus.fr/_x000D__x000D_*11/10/11 : c'est julie guyot qui s'occupe du R / env mail jguyot@es.redcats.com / fait partis du groupe redcats_x000D_12/10/11 : Mme GUYOT : accords cadres
4672Z,D'HALLUIN ACIER,,rue de la louvière_x000D_CRT1_x000D_BP 304,59813,LESQUIN,+33 3 20 96 66 00,Distribution spécialisée|Distribution/,prospect ,"50 salariés_x000D_distribution spécialisée dans les produits sidérurgiques (métaux, tôles, menuiserie) + découpe_x000D__x000D_09/05/11 : barrage secrétaire : envoyer un mail à dhalluin@dhalluin.com. _x000D_infos : 46 salariés, recrute rarement, les affaires sont plûtot bonnes_x000D__x000D_10/05/11 : barage secrétaire : le responsable ne prends pas les appels,me conseil de renvoyer un mail régulièrement_x000D_16/05/11 : en appelant tubolaser,qui fait partie du groupe d'Halluin, la secrétaire me dit que c'est Mr PAIN qui s'occupe du recrutement du gorupe_x000D__x000D_> envoyer des mails jusqu'à avoir un réponse"
,DAGNIAUX,,136 Rue Turgot_x000D_,59100,Roubaix,+33 3 20 01 02 30,,prospect ,"*Confectionneur de glaces, crème glacée, sorbet. _x000D__x000D_20/06/11 : Mr CASSETTE : (r acheteur) à souhaité réduire les coûts, attend de voir les retours et si difficultés sollicitera une aide _x000D_7/07/11: contact Mr CASSETTE : à reçu de bon CV, attend de voir ce que vont donner les entretiens, très bon contact, env cc, ecassette@dagniaux.fr > rel rentrée pour voir si il y a eu une prise de poste et proposer une rencontre_x000D_27/09/11 : Mr CASSETTE : recruté en interne, pas de projet d'externalisation, renvoie cc et rel début d'année_x000D_05/01/12 : pas de projets pour le moment_x000D_4/04: amélie est en contact avec une personne de chez eux..."
,DALKIA NORD,,37 av du Marechal Lattre,,Tassigny,+33 3 20 63 42 42,Energie-Environnement|Industrie/,prospect ,ING QSE_x000D_uniquement par courrier postal!!!!
,DAMART,,49 Bd du Général Leclerc,59100,Roubaix,+33 3 20 11 45 00,Textile-Habillement-Chaussures|Industrie/,prospect ,"_x000D_03/11/11 : contact Mme MARTEL : recrute pas leurs propres moyens,propre services rh, env mail nmartel@damart.com > rel début d'année_x000D_10/02/12 : """" idem, renv mail"
,DAVIGEL,,av Europe Chem Traité Rome,59160,Lomme,+33 3 20 08 52 80,Distribution|,prospect ,C'est le Directeur Hervé VACHER qui s'occupe du recrutement.
,DCP,,377 Rue Jules Guesde_x000D_,59650,Villeneuve d'Ascq,+33 3 59 56 03 00,Marketing|Services - Conseil/,prospect ,"* agence business to business, agence marketing b2b et de télémarketing _x000D_* http://www.dcp-fr.eu/_x000D__x000D_30/06/11 : Mme HOUARI :  elle gère les partenariats avec les cabR, passe par des cabR pour des postes plus pointus, env mail : rh@dcp-fr.eu > rel rentrée et plus proposer de se rencontrer_x000D__x000D_15/09/11 : Mme HOUARI : pas de projet de rectrutement,""+ de visibilité en fin d'année et là on  pourra se rencontrer""_x000D_29/11/11: ligne sur Paris : 0164641510 ; travaile avec un partenaire toujours sur la meme problématique ne souhaite pas changer, changera ou externalisera si la problématique est différente, rel mars 2012"
,DECIMALE,,RUE CALMETTE,59280,bois grenier,+33 3 20 48 42 84,,prospect ,"_x000D_*activité ?_x000D__x000D_31/05/11 : contact Mme TOP, rh :  souhaite un devis sur le poste, rem 22000€ pour un confirmé, env devis,  rel propal 7/06/11_x000D_22/02/11 : me dit qu'il recrute par leurs propres moyens,  ne me l'avais pas dit, jamais eu d'échanges > rel rentrée mais sans conviction"
,DEFRETIN,,,,,0320727085,,prospect ,
,DEKACOM (TICKET PROMO),,57/2 Avenue de Flandre,59170,Croix,+33 3.20 27.26.58,Agences de Pub|Services - Conseil/,prospect ,"*  http://www.ticket-promo.com/_x000D__x000D_Recrute un Rédacteur en Chef Adjoint, un Journaliste Pigiste et un Assistant Communication (temps partiel) en mars_x000D__x000D_15/09/11 : Mme Mallet annule le rdv du 22/09 car elle a missioné un autre cabR_x000D_21/10/11 : Mme MALLET : travaille qu'avec Nord Job_x000D_"
,DELBARD,,,,,0328323686,Distribution spécialisée|Distribution/,prospect ,"mr vanoverrschelde est le DAF_x000D_contact suite controle de refs de delphine merland, comptable générale ne poste._x000D_ok pour nous rencontrer en mai après finalisation de gros travaux suite rachtas de plusieurs sociétés._x000D_0328323686"
